Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
93720,46813.0,38.0,80223.0,38831.0,9.52085959028475,3.827996496699635,291500.0,1993.0,1857.0,1386.0,0.1049557360591402,83.50369626722643,,,9.302971396834211,18.17230256552667,0.7818341059107513,,,72.60376391173392,3.0611155021041165,24.0125606135048,12.007348386132056,Fresno,Fresno County,36.86,-119.76,18236.0,CA
93721,7182.0,35.1,25056.0,15239.0,24.46393762183236,3.299916457811195,123400.0,1976.0,1453.0,730.0,1.5890410958904109,71.45205479452055,1320.0,23940.0,13.464216095795043,4.803675856307435,2.2138680033416875,,,41.67362851573378,11.208576998050685,56.34920634920635,6.613756613756614,Fresno,Fresno County,36.73,-119.79,1923.0,CA
93722,84481.0,30.2,54137.0,20839.0,21.913803103656445,4.663770551958429,209500.0,1993.0,1463.0,1144.0,0.5947801384861218,80.04379475646564,9810.0,580660.0,12.820634225447142,7.5756679016583615,2.031225956132148,,,54.65015802369764,10.300540950036105,46.44476272771392,16.16221398894426,Fresno,Fresno County,36.8,-119.88,25246.0,CA
93723,12246.0,36.8,71861.0,31146.0,8.639555773313734,4.303446023191246,287000.0,2002.0,1905.0,1284.0,0.0,78.36566725455614,-666666666.0,94935.0,14.05356851216724,10.419728891066471,0.7430997876857749,,,60.78719581904295,2.964233219010289,42.69965703086722,15.743916380859057,Fresno,Fresno County,36.79,-119.95,3119.0,CA
93725,27239.0,27.9,41288.0,14577.0,28.59502918609347,5.804177833253791,154100.0,1979.0,1204.0,929.0,0.9167154281256096,73.6200507119173,,,9.956312639964755,3.414222254855171,5.881273174492455,,,46.00022027240354,4.093395499100555,64.75274422702742,17.794338999229048,Fresno,Fresno County,36.6,-119.7,6974.0,CA
93726,42610.0,27.9,34295.0,15774.0,31.670969256043183,5.435343816005632,155800.0,1965.0,1224.0,867.0,5.1155835254533,71.32531621907907,43830.0,198790.0,10.929359305327388,5.494015489321756,2.1872799812250645,,,56.30133771415161,9.631541891574749,50.59141046702652,12.072283501525463,Fresno,Fresno County,36.79,-119.76,15033.0,CA
93727,81118.0,29.7,50781.0,20392.0,23.690179738159223,3.984319140018245,222100.0,1980.0,1575.0,876.0,0.8090768306943522,82.91773332069151,,,12.241426070662492,7.873714835178382,3.593530412485515,,,51.18715944673192,5.298454103898025,45.935550679257375,22.205922236741536,Fresno,Fresno County,36.75,-119.68,23644.0,CA
93728,15945.0,30.2,34887.0,18210.0,36.01756036375039,7.8519912198181245,126800.0,1946.0,1123.0,819.0,2.739304401354263,79.6398891966759,9660.0,95365.0,10.761994355597366,8.05895264973346,1.7058639071809345,,,71.28253370962685,4.546879899655064,58.11226089683287,2.759485732204453,Fresno,Fresno County,36.76,-119.82,6366.0,CA
93730,11693.0,40.7,118487.0,53830.0,2.574189686137005,1.7275292910288207,408000.0,1998.0,2290.0,1831.0,0.459896983075791,85.68800588668138,,,7.312067048661593,22.902591293936545,0.1966988796715983,,,75.57513041990934,0.3762935089369708,16.39442401436757,19.28504233301976,Fresno,Fresno County,36.93,-119.75,3869.0,CA
93901,27624.0,35.7,58092.0,27174.0,15.41413263828555,3.210975962930785,422300.0,1965.0,1981.0,1172.0,0.4278426855356261,74.73259832154024,1080.0,187970.0,12.662901824500434,10.465537214016797,1.064291920069505,,,68.07848247900377,1.1801332174920358,55.96582681726035,5.524181870836953,Salinas,Monterey County,36.66,-121.65,10603.0,CA
