Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language Rate,Spanish Language Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
95954,12535.0,47.6,40545.0,21397.0,16.928599920223373,7.658556043079377,153600.0,1981.0,1215.0,983.0,1.5388999715018523,85.92191507552009,,,19.656960510570403,9.445552453131231,0.5743917032309533,93.3466294375748,1.8268847227762264,92.82010370961308,0.023932987634623,7.9936178699641,0.0,Magalia,Butte County,39.9,-121.5,5863.0,CA
95955,1384.0,34.3,47031.0,25429.0,10.693641618497107,7.875722543352601,152300.0,1960.0,1226.0,824.0,0.0,81.2015503875969,-666666666.0,7545.0,16.040462427745666,7.586705202312139,0.5780346820809249,57.58670520231214,30.346820809248555,95.8815028901734,0.0,40.10115606936416,0.0,Maxwell,Colusa County,39.31,-122.17,608.0,CA
95956,459.0,44.4,56923.0,36306.0,24.618736383442265,17.429193899782135,200000.0,1969.0,1400.0,-666666666.0,0.0,89.54248366013071,,,9.368191721132897,8.49673202614379,0.0,83.00653594771242,9.368191721132897,92.5925925925926,3.703703703703704,8.278867102396514,3.703703703703704,Meadow Valley,Plumas County,39.88,-121.06,534.0,CA
95957,773.0,45.3,58438.0,29230.0,15.782664941785251,3.3635187580853816,197100.0,1957.0,1895.0,758.0,0.0,80.3225806451613,,,19.404915912031047,6.727037516170763,1.2936610608020698,73.35058214747735,17.72315653298836,90.6856403622251,0.0,21.99223803363519,0.0,Meridian,Sutter County,39.1,-121.8,336.0,CA
95959,17013.0,52.4,58913.0,34937.0,12.249456298124963,6.024804561217892,385800.0,1977.0,2055.0,1126.0,2.4624799650298703,74.02010782456652,,,12.343502027861048,19.7672368189032,0.540762945982484,90.07817551284312,4.085111385411156,90.0605419385176,0.8581672838417681,6.3069417504261445,2.803738317757009,Nevada City,Nevada County,39.4,-120.8,8600.0,CA
95960,974.0,35.0,29250.0,15499.0,39.42505133470226,4.620123203285421,168000.0,1977.0,982.0,1070.0,0.0,84.06593406593407,,,20.02053388090349,4.0041067761806985,0.0,91.06776180698152,0.0,83.88090349075975,0.0,0.5133470225872689,0.5133470225872689,North San Juan,Nevada County,39.4,-121.1,437.0,CA
95961,26979.0,29.6,46441.0,17827.0,19.84877126654064,7.820897735275585,163400.0,1988.0,1495.0,890.0,0.7873166522864539,77.32959447799827,4965.0,213785.0,11.342155009451796,4.903814077615923,1.6420178657474331,62.59312798843545,20.30838800548575,67.05585826012825,3.562029726824567,31.58753104266281,5.574706253011602,Olivehurst,Yuba County,39.0,-121.5,8799.0,CA
95962,1285.0,56.0,59832.0,36789.0,9.182879377431906,1.0116731517509727,274300.0,1992.0,1451.0,732.0,6.135986733001658,46.93200663349917,,,7.8599221789883265,27.003891050583658,0.0,87.00389105058366,1.9455252918287933,97.7431906614786,0.0,1.0116731517509727,0.0,Oregon House,Yuba County,39.37,-121.28,765.0,CA
95963,15018.0,36.1,39485.0,19440.0,21.181249167665467,5.912904514582501,224100.0,1975.0,1466.0,710.0,0.2554744525547445,75.0912408759124,,,13.61699294180317,7.311226528166201,2.1374350779065123,58.549740311626046,31.096018111599413,87.6681315754428,0.3728858702889865,39.32614196297776,1.7512318551072046,Orland,Glenn County,39.7,-122.4,5853.0,CA
95965,20599.0,36.7,35220.0,17651.0,27.239186368270303,6.5440069906306135,151300.0,1974.0,1287.0,772.0,1.10324386629343,75.13584719249135,2405.0,100930.0,17.097917374629837,6.0876741589397545,2.116607602310792,78.03291421913686,4.233215204621583,71.76076508568377,3.757463954560901,11.068498470799554,11.097626098354288,Oroville,Butte County,39.6,-121.6,8002.0,CA
95966,30916.0,42.6,40775.0,21414.0,20.998835554405485,5.6507957044895845,159100.0,1976.0,1357.0,905.0,0.1887729756582215,75.90660705414804,900.0,167390.0,17.45374563332902,5.582869711476258,1.3002975805408203,81.5726484668133,5.278820028464225,77.95639798162763,1.138569025747186,12.249320740069868,7.319834389959891,Oroville,Butte County,39.5,-121.4,13148.0,CA
95968,1438.0,35.2,33100.0,14228.0,30.876216968011125,8.6230876216968,90000.0,1972.0,870.0,953.0,0.0,63.63636363636363,,,13.21279554937413,0.278164116828929,2.503477051460361,55.98052851182197,35.18776077885953,62.447844228094574,0.9040333796940194,52.92072322670376,0.0,Palermo,Butte County,39.43,-121.56,514.0,CA
95969,27443.0,50.3,41982.0,25740.0,17.184710126443903,5.221732317895274,204800.0,1974.0,1388.0,902.0,1.2647981382171405,78.7716280481635,4215.0,161020.0,16.375760667565498,12.188900630397551,0.8125933753598368,90.17600116605328,3.068177677367635,93.24053492693947,0.371679481106293,6.460663921582917,1.2279998542433408,Paradise,Butte County,39.7,-121.7,13621.0,CA
95970,482.0,50.7,57639.0,32141.0,9.75103734439834,6.431535269709544,201100.0,1971.0,1713.0,692.0,0.0,82.4074074074074,,,19.08713692946058,6.846473029045643,0.8298755186721992,69.29460580912863,23.236514522821576,91.49377593360995,0.0,23.858921161825727,0.0,Princeton,Colusa County,39.43,-122.07,261.0,CA
95971,5798.0,48.4,51869.0,27117.0,19.42048982407727,6.881683339082442,228300.0,1971.0,1577.0,857.0,0.0412031314379892,77.00865265760197,,,14.608485684718868,10.36564332528458,1.1728182131769576,86.13314936184891,2.7768195929630908,88.15108658157986,1.655743359779234,4.260089686098655,0.8968609865470852,Quincy,Plumas County,39.9,-121.0,2920.0,CA
95973,33511.0,35.0,56541.0,30354.0,13.876040703052729,4.810360777058279,267700.0,1986.0,1792.0,926.0,0.7516796381294486,78.34763520255439,5130.0,212170.0,10.751693473784728,13.989436304497032,0.5550416281221091,80.14681746292263,9.480469099698606,86.38357554235922,1.2234788576885205,16.869087762227327,2.366387156456089,Chico,Butte County,39.9,-121.8,13510.0,CA
95974,0.0,-666666666.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,,,,,,,,,,Richvale,Butte County,39.496,-121.747,3.0,CA
95975,2072.0,41.5,57969.0,28851.0,8.928571428571429,1.5926640926640927,290800.0,1983.0,1606.0,1312.0,0.0,88.02030456852792,,,16.795366795366796,11.245173745173744,0.0,86.29343629343629,6.225868725868726,87.64478764478764,0.1447876447876447,10.135135135135137,0.0,Rough And Ready,Nevada County,39.23,-121.16,855.0,CA
95977,1887.0,31.1,48500.0,22511.0,7.313195548489666,1.0068892421833595,240000.0,1999.0,2318.0,1279.0,1.9367991845056065,65.85117227319063,,,19.92580816110228,13.089560148383676,0.0,86.85744568097509,3.444621091679916,86.1685214626391,2.5437201907790143,9.379968203497617,0.5829358770535241,Smartsville,Nevada County,39.17,-121.32,704.0,CA
95978,0.0,-666666666.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,,,,,,,,,,Stirling City,Butte County,39.9,-121.5,71.0,CA
95979,685.0,56.6,47500.0,24934.0,10.656934306569344,1.45985401459854,146100.0,1980.0,1330.0,795.0,0.0,80.26315789473684,-666666666.0,4355.0,31.38686131386861,7.007299270072993,0.583941605839416,94.8905109489051,2.9197080291970803,87.44525547445255,3.795620437956204,10.802919708029195,1.313868613138686,Stonyford,Colusa County,39.3,-122.5,428.0,CA
95981,102.0,30.3,-666666666.0,1237.0,100.0,88.23529411764706,-666666666.0,1969.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,0.0,0.0,0.0,100.0,0.0,11.764705882352942,0.0,53.92156862745098,34.31372549019608,Strawberry Valley,Yuba County,39.6,-121.0,346.0,CA
95982,3251.0,34.5,63816.0,30353.0,8.581974776991695,5.413718855736696,189000.0,1977.0,1440.0,933.0,0.0,80.04231311706629,,,14.887726853275916,9.350968932636112,0.7689941556444171,89.63395878191325,1.6917871424177175,92.24853891110428,0.0,12.488465087665334,0.676714856967087,Sutter,Sutter County,39.18,-121.81,1217.0,CA
95983,440.0,53.0,26250.0,30432.0,30.681818181818183,3.863636363636364,144900.0,1958.0,1570.0,-666666666.0,0.0,76.01809954751131,,,15.227272727272728,9.318181818181818,0.0,89.77272727272727,5.0,100.0,0.0,5.0,0.0,Taylorsville,Plumas County,40.0,-120.7,297.0,CA
95984,0.0,-666666666.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,,,,,,,,,,Twain,Plumas County,40.0,-121.1,91.0,CA
95986,17.0,-666666666.0,-666666666.0,,100.0,0.0,-666666666.0,1982.0,-666666666.0,-666666666.0,,,-666666666.0,-666666666.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,Washington,Nevada County,39.35,-120.81,121.0,CA
95987,5979.0,33.7,55355.0,21012.0,13.095835423983944,6.238501421642416,164800.0,1990.0,1496.0,945.0,0.0,72.14258039519567,-666666666.0,36075.0,12.293025589563472,2.993811674193009,1.2543903662819869,37.94948988125105,52.91854825221609,87.57317277136644,0.4014049172102358,70.14550928248872,0.6188325806991135,Williams,Colusa County,39.1,-122.3,1854.0,CA
95988,8913.0,42.2,48443.0,27508.0,15.965443733871872,5.879053068551554,209900.0,1971.0,1351.0,727.0,0.182648401826484,73.6986301369863,,,18.52350499270728,7.842477280376977,2.468304723437676,69.92034107483451,21.42937282620891,83.46235835296757,1.3463480309660047,28.09379557949063,2.65903736115786,Willows,Glenn County,39.5,-122.3,3543.0,CA
95991,41212.0,31.7,43165.0,20183.0,21.27050373677569,7.160535766281665,161600.0,1974.0,1480.0,882.0,1.0821133036282622,73.73647358370465,10655.0,266930.0,12.833640687178493,6.752887508492672,1.7519169174026985,56.43259244880132,24.296321459769,70.95020867708435,2.2202271183150537,34.75686693196157,9.220615354751043,Yuba City,Sutter County,39.0,-121.6,15139.0,CA
95993,35847.0,38.6,64034.0,27939.0,11.82246770998968,6.134404552682232,226900.0,1987.0,1717.0,974.0,1.7395661822607202,78.29479561887035,12255.0,275035.0,13.596674756604456,11.348229977403967,2.711523976901833,58.99238429994142,11.272909866934471,62.84486846877005,2.5246185175886406,19.114570256925266,24.967221803777164,Yuba City,Sutter County,39.1,-121.7,12388.0,CA
96001,34469.0,42.0,46422.0,27090.0,16.51048768458615,5.271403289912676,247600.0,1975.0,1666.0,886.0,1.0445085353495986,79.00849637539949,5225.0,177400.0,14.230177840958545,10.890945487249413,0.3713481679189996,86.91287823841712,3.519104122544896,85.56383997214888,1.2184861759842176,8.129043488351853,2.216484377266529,Redding,Shasta County,40.6,-122.5,14846.0,CA
96002,33202.0,38.8,43657.0,21894.0,17.3875067767002,5.4123245587615205,210200.0,1978.0,1534.0,931.0,0.6330141210842396,82.59211167018341,,,14.860550569242816,9.113908800674658,0.9547617613396784,83.72688392265526,6.03879284380459,82.30227094753329,1.4607553761821577,9.782543220287934,4.162399855430396,Redding,Shasta County,40.53,-122.32,13374.0,CA
96003,44398.0,39.6,46497.0,24943.0,17.665210144601108,4.950673453759179,224200.0,1986.0,1577.0,1016.0,1.2186496926173769,82.15548664381699,15805.0,242790.0,14.502905536285418,9.51168971575296,0.4166854362809135,86.90256317852156,3.058696337672868,88.99049506734538,1.0923915491688814,7.606198477408892,3.7569259876571017,Redding,Shasta County,40.7,-122.3,19402.0,CA
96006,400.0,49.6,65625.0,24308.0,2.5,0.0,152500.0,1969.0,951.0,-666666666.0,0.0,71.8562874251497,,,11.5,2.25,0.0,96.0,0.0,99.25,0.0,0.0,0.0,Adin,Modoc County,41.4,-121.1,307.0,CA
96007,22942.0,39.7,38907.0,19126.0,20.29465608926859,5.422369453404237,175700.0,1976.0,1321.0,797.0,0.2627627627627628,83.65865865865865,,,17.478859733240345,4.589835236683811,0.4489582425246273,86.30895301194316,3.665765844303025,90.79417661930084,0.3922936099729753,10.395780664283846,0.4707523319675704,Anderson,Shasta County,40.5,-122.3,9487.0,CA
96008,1128.0,50.3,53419.0,25365.0,10.638297872340424,2.2163120567375887,215500.0,1981.0,1555.0,868.0,0.0,60.18306636155607,,,16.93262411347518,8.421985815602836,0.0,92.37588652482268,0.0886524822695035,71.80851063829788,0.4432624113475177,13.386524822695035,0.0,Bella Vista,Shasta County,40.7,-122.1,485.0,CA
96009,329.0,58.2,56563.0,28171.0,14.893617021276595,4.5592705167173255,205200.0,1965.0,1388.0,-666666666.0,0.0,85.85858585858585,,,23.10030395136778,12.462006079027356,0.0,79.33130699088146,16.109422492401215,89.36170212765957,0.0,8.814589665653495,0.0,Bieber,Lassen County,41.0,-121.1,285.0,CA
96010,187.0,50.3,32500.0,19379.0,20.855614973262032,3.2085561497326203,295000.0,1961.0,1398.0,663.0,0.0,58.18181818181818,,,22.459893048128343,1.60427807486631,0.0,93.048128342246,1.60427807486631,73.79679144385027,18.181818181818183,0.0,0.0,Big Bar,Trinity County,40.79,-123.22,153.0,CA
96011,155.0,55.8,18750.0,13764.0,27.096774193548388,5.161290322580645,205600.0,1963.0,-666666666.0,569.0,9.67741935483871,77.41935483870968,,,20.64516129032258,5.806451612903226,0.0,74.19354838709677,7.096774193548387,76.12903225806451,1.935483870967742,13.548387096774194,0.0,Big Bend,Shasta County,41.02,-121.93,191.0,CA
96013,3881.0,49.4,38089.0,20267.0,20.278278794125224,6.158206647771193,135200.0,1973.0,1106.0,596.0,0.0,78.50113550340652,,,23.653697500644164,6.003607317701623,1.6490595207420768,93.58412780211286,3.169286266426179,94.27982478742592,0.8502963153826334,6.673537748003092,0.3607317701623293,Burney,Shasta County,41.0,-121.7,2033.0,CA
