Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
95564,389.0,41.5,42206.0,26005.0,19.794344473007712,9.511568123393316,304300.0,0,1583.0,1125.0,5.291005291005291,69.31216931216932,0.0,0.0,14.395886889460154,9.511568123393316,2.056555269922879,,,69.15167095115682,0.0,7.455012853470437,0.5141388174807198,Samoa,Humboldt County,40.8,-124.21,192.0,CA
95565,762.0,37.1,42955.0,24162.0,22.04724409448819,4.855643044619423,321200.0,0,1659.0,1127.0,0.0,71.42857142857143,0.0,0.0,19.68503937007874,4.724409448818897,0.2624671916010498,,,84.90813648293964,0.0,9.317585301837273,0.3937007874015748,Scotia,Humboldt County,40.46,-124.02,394.0,CA
95567,1802.0,49.3,57266.0,33420.0,20.58823529411765,2.830188679245283,255000.0,1990,2060.0,723.0,0.0,85.63611491108071,0.0,0.0,20.14428412874584,7.32519422863485,1.109877913429523,,,73.08546059933407,0.0,18.53496115427303,4.605993340732519,Smith River,Del Norte County,41.94,-124.14,927.0,CA
95568,274.0,52.1,45104.0,19172.0,29.197080291970803,10.94890510948905,298100.0,1974,1396.0,858.0,0.0,89.90825688073394,0.0,0.0,23.72262773722628,17.51824817518248,6.204379562043796,,,67.88321167883211,6.934306569343065,27.73722627737226,0.7299270072992701,Somes Bar,Siskiyou County,41.5,-123.5,102.0,CA
95570,2338.0,46.4,50278.0,37060.0,14.029084687767323,2.2241231822070144,447800.0,1972,2241.0,1160.0,2.247191011235955,76.40449438202248,0.0,0.0,8.768177929854577,22.711719418306245,0.0855431993156544,,,93.02822925577416,0.0,6.757912745936698,0.8982035928143712,Trinidad,Humboldt County,41.2,-124.0,1571.0,CA
95573,1568.0,37.6,66731.0,25216.0,10.52295918367347,0.0,309000.0,1968,1277.0,1004.0,4.952076677316294,63.89776357827476,0.0,0.0,20.663265306122447,14.03061224489796,0.0,,,90.24234693877553,0.1913265306122449,7.780612244897959,0.0,Willow Creek,Humboldt County,40.9,-123.6,1136.0,CA
95585,457.0,41.5,21719.0,17575.0,35.88621444201313,1.0940919037199124,322500.0,1967,1639.0,988.0,0.0,58.01526717557252,0.0,0.0,12.691466083150983,3.938730853391685,0.0,,,84.9015317286652,3.719912472647702,18.81838074398249,2.1881838074398248,Leggett,Mendocino County,39.87,-123.7,300.0,CA
95601,151.0,37.9,29722.0,41858.0,7.28476821192053,6.622516556291391,409100.0,1955,1150.0,850.0,0.0,96.29629629629628,-666666666.0,1645.0,21.19205298013245,7.947019867549669,3.9735099337748334,,,80.13245033112582,0.0,12.582781456953642,0.0,Amador City,Amador County,38.421,-120.827,111.0,CA
95602,17557.0,54.7,82397.0,40725.0,8.013897590704563,2.021985532835906,471000.0,1980,2298.0,1277.0,0.335787162598476,79.3620043910629,1150.0,208315.0,14.148202995956028,18.09534658540753,0.1537848151734351,,,95.01623284160164,0.028478669476562,12.815401264452923,1.4068462721421655,Auburn,Placer County,38.99,-121.1,7496.0,CA
95603,29474.0,47.7,68257.0,38428.0,11.983443034538915,1.7506955282621972,426300.0,1978,2215.0,1200.0,0.5858277826819678,81.60661263141,2105.0,240565.0,12.953789780823778,15.75286693356857,0.8482051978014521,,,90.50010178462374,0.4410667028567551,10.877383456605822,2.059442220261926,Auburn,Placer County,38.9,-121.1,12243.0,CA
