Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language Rate,Spanish Language Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
95742,10145.0,32.2,108179.0,33489.0,6.830951207491375,4.622966978807294,320500.0,-666666666.0,2215.0,1962.0,1.0257529463116544,79.17939764295068,0.0,0.0,7.629374075899458,18.639724001971416,0.6702809265648102,56.44159684573682,7.422375554460325,52.94233612617053,6.042385411532774,14.509610645638244,28.27008378511582,Rancho Cordova,Sacramento County,38.57,-121.19,2635.0,CA
95746,23516.0,45.4,115217.0,55376.0,2.938424902194251,4.116346317400919,612500.0,1987.0,3064.0,1759.0,1.403113478082753,79.54731667349446,0.0,0.0,8.58989624085729,22.0445654022793,0.2508930090151386,88.4844361285933,2.1814934512672224,83.9981289334921,1.016329307705392,5.766286783466576,7.4587514883483585,Granite Bay,Placer County,38.75,-121.17,7811.0,CA
95747,58938.0,38.2,92649.0,36920.0,6.104720214462656,3.461264379517459,361600.0,2000.0,2260.0,1453.0,1.5086536988819117,78.90565170776536,18745.0,611865.0,9.812005836641896,18.90461162577624,0.1408259526960534,77.33211171061114,3.753096474261088,78.04302826699244,2.258305337812617,11.895551257253384,11.749635209881571,Roseville,Placer County,38.78,-121.37,19836.0,CA
95757,45259.0,34.5,86557.0,28506.0,7.57197463487925,4.18922203318677,337700.0,2005.0,2180.0,1634.0,2.609284988139614,72.85665875974246,0.0,0.0,9.273293709538434,16.77014516449767,1.7455091804944871,55.18902317771051,10.42002695596456,34.96321173689211,13.34099295167812,18.109105371307365,34.71795664950618,Elk Grove,Sacramento County,38.34,-121.43,11878.0,CA
95758,62411.0,35.1,69641.0,28939.0,13.629007706974733,5.2090176411209566,256700.0,1996.0,1788.0,1410.0,2.611781405251952,76.0042583392477,0.0,0.0,11.02369774558972,15.870599734021246,2.0076589062825465,61.9666404960664,7.069266635689221,44.92317059492718,12.438512441717004,17.770905769816217,27.230776625915304,Elk Grove,Sacramento County,38.43,-121.44,21347.0,CA
95762,40039.0,42.6,119152.0,48907.0,4.827792901920628,3.9461525013112215,493400.0,1999.0,2922.0,2025.0,2.005646394541819,74.28537819080108,0.0,0.0,7.287894303054522,21.68385823821773,0.3821274257598841,78.70326431729065,2.9895851544743874,80.96106296361047,2.5425210419840654,8.976248158045905,10.272484327780417,El Dorado Hills,El Dorado County,38.7,-121.1,13827.0,CA
95765,36700.0,35.3,87596.0,36189.0,6.749318801089919,4.179836512261581,375900.0,2001.0,2346.0,1422.0,0.7641157256182921,83.6852543163789,6735.0,390230.0,7.961852861035422,20.237057220708447,0.4032697547683924,76.40326975476839,6.599455040871935,77.71934604904632,1.4277929155313351,14.534059945504088,11.136239782016348,Rocklin,Placer County,38.83,-121.29,12546.0,CA
95776,22559.0,30.8,65713.0,24281.0,11.875526397446697,3.878718028281396,264800.0,1994.0,1973.0,1166.0,5.093481556341587,73.78473976755937,26185.0,144985.0,11.334722283789176,10.058069949909129,2.025799015913826,45.71124606587171,33.05111042156124,63.36273771000488,0.8555343765237821,47.82570149386054,14.889844407996808,Woodland,Yolo County,38.7,-121.7,6824.0,CA
95811,7072.0,33.3,37638.0,35520.0,32.494343891402714,8.074095022624434,346200.0,1961.0,2208.0,798.0,7.013924703455389,55.3893759669933,0.0,0.0,7.6923076923076925,21.747737556561084,1.937217194570136,76.13122171945702,12.754524886877828,64.960407239819,10.350678733031677,21.747737556561084,8.837669683257918,Sacramento,Sacramento County,38.58,-121.49,4465.0,CA
95814,9706.0,36.5,31567.0,30859.0,26.57119307644756,4.409643519472492,290800.0,1968.0,2044.0,824.0,5.575846116386657,49.208668127587046,9165.0,39760.0,12.322274881516588,18.35977745724294,1.2569544611580463,73.18153719348857,11.755615083453534,64.45497630331754,13.53801772099732,19.01916340407995,11.12713785287451,Sacramento,Sacramento County,38.58,-121.49,6473.0,CA
95815,25394.0,32.5,26832.0,15035.0,39.5684019847208,10.659998424824762,119900.0,1959.0,1157.0,912.0,4.007612224336729,75.54013209448114,13545.0,170240.0,14.491612191856344,5.044498700480428,1.9729069859021813,51.44916121918563,30.38513034575097,48.7398598094038,11.1207371820115,44.14822398991888,8.120028353154288,Sacramento,Sacramento County,38.61,-121.45,10004.0,CA
95816,17203.0,35.5,54568.0,45727.0,12.404813113991745,5.2955879788409,458100.0,1948.0,2153.0,918.0,4.81219579392047,65.54320874276793,21625.0,149335.0,8.14974132418764,24.18182875079928,0.0988199732604778,81.253269778527,8.266000116258793,79.99767482415858,4.249258850200547,16.456432017671336,6.173341858978085,Sacramento,Sacramento County,38.58,-121.47,10137.0,CA
95817,13818.0,33.5,33890.0,23242.0,30.163554783615574,6.404689535388624,224300.0,1949.0,1485.0,886.0,4.968002694509936,66.52071404513305,9140.0,79935.0,9.892893327543783,13.431755680995805,2.409900130264872,73.60688956433637,12.143580836589956,56.79548415110725,20.92198581560284,23.404255319148938,8.018526559559994,Sacramento,Sacramento County,38.55,-121.45,6574.0,CA
95818,20542.0,38.8,62649.0,46658.0,20.62603446597216,4.770713659818908,438200.0,1941.0,2142.0,835.0,5.25172754195459,69.76307996051332,21070.0,134560.0,6.309025411352351,22.217895044299485,1.1732061143024048,75.43569272709571,6.474539966897089,70.65037484178755,7.472495375328595,18.260149936715024,12.919871482815696,Sacramento,Sacramento County,38.56,-121.49,10143.0,CA
95819,18571.0,36.9,90149.0,47037.0,6.461687577405632,4.5285660438317805,413300.0,1949.0,2206.0,1320.0,4.898446833930705,71.70631041598783,0.0,0.0,4.372408594044478,24.52210435625437,0.3123148995746055,81.02956222066663,5.417048085725055,84.87426632922298,3.3708470195466047,12.024123633622317,4.210866404609337,Sacramento,Sacramento County,38.57,-121.44,8036.0,CA
95820,35425.0,33.7,40898.0,20649.0,27.071277346506704,6.794636556104446,166500.0,1954.0,1329.0,1032.0,4.5828521939953815,69.57274826789839,0.0,0.0,12.446012702893436,7.582215949188426,3.0543401552575866,56.99364855328158,25.43401552575865,55.50035285815103,10.498235709244884,42.04657727593507,11.206774876499647,Sacramento,Sacramento County,38.54,-121.45,13190.0,CA
95821,34053.0,39.3,37619.0,23985.0,26.19152497577306,9.003612016562418,251300.0,1961.0,1654.0,806.0,4.837022132796781,74.99396378269617,0.0,0.0,13.370334478606878,11.893225266496344,0.9367750271635392,70.04081872375414,12.239743928581916,70.24050744427804,10.78319090829002,19.170117170293366,4.769036501923472,Sacramento,Sacramento County,38.63,-121.38,16240.0,CA
95822,43427.0,37.3,45801.0,22790.0,22.85214267621526,5.70612752435121,222800.0,1959.0,1589.0,1035.0,3.8986232790988735,73.44180225281602,27610.0,282650.0,13.78174868169572,10.300043751583116,3.4909157897160754,58.02841550187672,15.276210652359133,48.17740115596288,16.268680774633292,28.84841227807585,20.478043613420223,Sacramento,Sacramento County,38.51,-121.5,16569.0,CA
